Ref,fold,n_rows,size_bucket,n_observed_classes,actual_moderate,actual_strong,actual_weak,coral_accuracy,coral_macro_f1,standardized_accuracy,standardized_macro_f1,uncorrected_accuracy,uncorrected_macro_f1,coral_minus_uncorrected_accuracy,coral_minus_standardized_accuracy,coral_minus_uncorrected_macro_f1,coral_minus_standardized_macro_f1
10.1007/s11274-019-2787-6,1,3,2-4 rows,2,2,0,1,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0
10.1007/s12010-022-04120-2,1,4,2-4 rows,2,2,2,0,0.0,0.0,0.5,0.2222222222222222,0.25,0.16666666666666666,-0.25,-0.5,-0.16666666666666666,-0.2222222222222222
10.1016/j.jtumed.2022.10.006,1,1,1 row (CORAL identity fallback),1,1,0,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,-1.0,0.0,-0.3333333333333333
10.1038/s41598-020-73497-z,1,2,2-4 rows,1,0,0,2,1.0,0.3333333333333333,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5,0.5,0.1111111111111111,0.1111111111111111
10.1088/1748-605X/acd03f,1,8,5+ rows,1,0,0,8,0.875,0.3111111111111111,1.0,0.3333333333333333,0.625,0.25641025641025644,0.25,-0.125,0.05470085470085467,-0.0222222222222222
10.1186/s12866-023-02971-1,1,6,5+ rows,2,2,0,4,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,0.26666666666666666,0.0,0.6666666666666666,0.06666666666666665,0.3333333333333333
10.1590/0103-6440202003897,1,10,5+ rows,2,2,8,0,0.1,0.08333333333333333,0.0,0.0,0.4,0.26666666666666666,-0.30000000000000004,0.1,-0.18333333333333335,0.08333333333333333
https://doi.org/10.1007/s11274-017-2406-3,1,5,5+ rows,2,3,0,2,0.6,0.38888888888888884,0.2,0.2222222222222222,0.4,0.19047619047619047,0.19999999999999996,0.39999999999999997,0.19841269841269837,0.16666666666666663
https://doi.org/10.1016/j.heliyon.2023.e15265,1,4,2-4 rows,1,0,4,0,0.25,0.13333333333333333,0.0,0.0,0.5,0.2222222222222222,-0.25,0.25,-0.08888888888888888,0.13333333333333333
https://doi.org/10.1016/j.jrras.2015.10.002,1,2,2-4 rows,1,0,0,2,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-1.0,0.0,-0.3333333333333333,0.0
https://doi.org/10.1515/ntrev-2016-0064,1,2,2-4 rows,2,1,0,1,0.5,0.2222222222222222,0.5,0.2222222222222222,0.5,0.2222222222222222,0.0,0.0,0.0,0.0
https://doi.org/10.3390/molecules29133027,1,4,2-4 rows,1,0,4,0,0.0,0.0,0.0,0.0,0.5,0.2222222222222222,-0.5,0.0,-0.2222222222222222,0.0
