material,fab_method,shape,diameter_nm,height_nm,spacing_nm,aspect_ratio,Ra_nm,Rq_nm,WCA_deg,strain,gram,motility,cell_shape,BE_pct,ref
Ti,ion etching,spike,83,425,224,0.20,,,,E.coli,-,M,R,70.0,(44)
Ti,ion etching,spike,83,425,224,0.20,,,,P. aeruginosa,-,M,R,94.0,(44)
Ti,ion etching,spike,83,425,224,0.20,,,,S. aureus,+,N,S,55.0,(44)
Ti,ion etching,spike,65,122,330,0.53,,,,E.coli,-,M,R,60.0,(44)
Ti,ion etching,spike,65,122,330,0.53,,,,P. aeruginosa,-,M,R,87.0,(44)
Ti,ion etching,spike,65,122,330,0.53,,,,S. aureus,+,N,S,58.0,(44)
Ti,ion etching,spike,71,242,453,0.29,,,,E.coli,-,M,R,50.0,(44)
Ti,ion etching,spike,71,242,453,0.29,,,,P. aeruginosa,-,M,R,84.0,(44)
Ti,ion etching,spike,71,242,453,0.29,,,,S. aureus,+,N,S,28.0,(44)
Ti,ion etching,spike,85,207,500,0.41,,,,E.coli,-,M,R,40.0,(44)
Ti,ion etching,spike,85,207,500,0.41,,,,P. aeruginosa,-,M,R,95.0,(44)
Ti,ion etching,spike,85,207,500,0.41,,,,S. aureus,+,N,S,32.0,(44)
Ti,ion etching,spike,83,340,544,0.24,61.5,,9.7,E.coli,-,M,R,62.0,(44)
Ti,ion etching,spike,83,340,544,0.24,61.5,,9.7,P. aeruginosa,-,M,R,96.0,(44)
Ti,ion etching,spike,83,340,544,0.24,61.5,,9.7,S. aureus,+,N,S,64.0,(44)
Carbon,chemical vapor deposition,tube,10,32000,75,0.0003,,,148.6,P. aeruginosa,-,M,R,100.0,(45)
Carbon,chemical vapor deposition,tube,10,32000,75,0.0003,,,148.6,S. aureus,+,N,S,18.0,(45)
Carbon,chemical vapor deposition,tube,10,32000,75,0.0003,,,147.93,P. aeruginosa,-,M,R,90.0,(45)
Carbon,chemical vapor deposition,tube,10,32000,75,0.0003,,,147.93,S. aureus,+,N,S,17.0,(45)
Carbon,chemical vapor deposition,tube,10,32000,75,0.0003,,,45.5,P. aeruginosa,-,M,R,92.0,(45)
Carbon,chemical vapor deposition,tube,10,32000,75,0.0003,,,45.5,S. aureus,+,N,S,10.0,(45)
Carbon,chemical vapor deposition,tube,10,1000,75,0.0100,,,149.5,P. aeruginosa,-,M,R,75.0,(45)
Carbon,chemical vapor deposition,tube,10,1000,75,0.0100,,,149.5,S. aureus,+,N,S,68.0,(45)
Carbon,chemical vapor deposition,tube,10,1000,75,0.0100,,,137.1,P. aeruginosa,-,M,R,90.0,(45)
Carbon,chemical vapor deposition,tube,10,1000,75,0.0100,,,137.1,S. aureus,+,N,S,85.0,(45)
Carbon,chemical vapor deposition,tube,10,1000,75,0.0100,,,21.4,P. aeruginosa,-,M,R,100.0,(45)
Carbon,chemical vapor deposition,tube,10,1000,75,0.0100,,,21.4,S. aureus,+,N,S,50.0,(45)
,,,,,,,,,,,,,,,
