No.,Ref,Material 1,Formula,MagpieData mean Number,MagpieData mean Electronegativity,MagpieData mean AtomicRadius,MagpieData mean CovalentRadius,MagpieData mean Density,MagpieData mean Row,MagpieData mean Column,size (nm),Shape,Synthesis Method,zeta potential,bacteria,gram stain,motility,Oxygen Requirement,Shape.1,Arrangement,duration,temperature,MIC (ÃÂÃÂµg/mL),MIC_class,MIC_pred (ÃÂµg/mL),MBC_pred (Âµg/mL),MBC_pred (µg/mL)
70,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,25.360998,103.877464,505.37106
71,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-13.0545635,142.81245,689.07324
72,,Ag,Ag,47,1.93,1.6,145,10490,5,11,7,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-14.492902,89.45929,487.80557
73,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,190.5773,133.19112,505.37106
74,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,72.12719,158.78685,689.07324
75,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,80.66083,118.02917,487.80557
76,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,23.307535,94.48596,505.37106
77,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,4.490456,133.42097,689.07324
78,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-16.546385,80.06779,487.80557
79,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,23.090536,103.877464,505.37106
80,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-15.325029,142.81245,689.07324
81,,Ag,Ag,47,1.93,1.6,145,10490,5,11,8,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-16.763372,89.45929,487.80557
82,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,190.5773,133.19112,505.37106
83,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,72.12719,158.78685,689.07324
84,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,80.66083,118.02917,487.80557
85,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,23.307535,94.48596,505.37106
86,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,4.490456,133.42097,689.07324
87,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-16.546385,80.06779,487.80557
88,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,23.090536,103.877464,505.37106
89,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,Polyhedral,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-15.325029,142.81245,689.07324
90,,Ag,Ag,47,1.93,1.6,145,10490,5,11,9,Polyhedral,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,-16.763372,89.45929,487.80557
91,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,spherical,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,242.62393,133.19112,505.37106
92,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,spherical,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,107.57308,158.78685,689.07324
93,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,spherical,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,weak,121.32923,118.02917,487.80557
94,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,rod,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,102.60246,94.48596,505.37106
95,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,rod,chemical synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,67.18471,133.42097,689.07324
96,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,rod,Green synthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,51.37034,80.06779,487.80557
97,,Ag,Ag,47,1.93,1.6,145,10490,5,11,10,Polyhedral,biosynthesis,0,S. aureus,1,0,Facultative anaerobe,Coccus,clusters,24,37,,strong,76.822845,103.877464,505.37106
